Survived,Pclass,Sex,Age,SibSp,Parch,Accompagné,Passenger/Crew,Naufrage
1,2,F,7.0,0,2,1,Passenger,Titanic
0,1,M,45.0,0,0,0,Passenger,Titanic
1,1,F,30.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,F,22.0,0,2,1,Passenger,Titanic
1,1,F,36.0,0,2,1,Passenger,Titanic
0,3,F,9.0,4,2,1,Passenger,Titanic
0,3,F,11.0,4,2,1,Passenger,Titanic
1,2,M,32.0,1,0,1,Passenger,Titanic
0,1,M,50.0,1,0,1,Passenger,Titanic
0,1,M,64.0,0,0,0,Passenger,Titanic
1,2,F,19.0,1,0,1,Passenger,Titanic
1,2,M,31.0,0,0,0,Passenger,Titanic
0,3,M,33.0,1,1,1,Passenger,Titanic
1,2,M,8.0,1,1,1,Passenger,Titanic
1,1,M,17.0,0,2,1,Passenger,Titanic
0,2,M,27.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,22.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,1,M,62.0,0,0,0,Passenger,Titanic
1,1,F,48.0,1,0,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
1,1,F,39.0,1,1,1,Passenger,Titanic
1,3,F,36.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,40.0,0,0,0,Passenger,Titanic
0,2,M,28.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,F,24.0,0,0,0,Passenger,Titanic
0,3,M,24.0,2,0,1,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
0,3,F,29.0,0,4,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,32.0,0,0,0,Passenger,Titanic
1,2,M,62.0,0,0,0,Passenger,Titanic
1,1,F,53.0,2,0,1,Passenger,Titanic
1,1,M,36.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,M,16.0,0,0,0,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,2,F,34.0,0,0,0,Passenger,Titanic
1,1,F,39.0,1,0,1,Passenger,Titanic
0,3,F,29.5,1,0,1,Passenger,Titanic
1,3,M,32.0,0,0,0,Passenger,Titanic
1,2,F,25.0,1,1,1,Passenger,Titanic
1,1,F,39.0,1,1,1,Passenger,Titanic
0,2,M,54.0,0,0,0,Passenger,Titanic
0,1,M,36.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,F,18.0,0,2,1,Passenger,Titanic
0,2,M,47.0,0,0,0,Passenger,Titanic
1,1,M,60.0,1,1,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,35.0,0,0,0,Passenger,Titanic
1,1,F,52.0,1,0,1,Passenger,Titanic
0,3,M,47.0,0,0,0,Passenger,Titanic
0,3,F,24.0,0,2,1,Passenger,Titanic
0,2,M,37.0,1,0,1,Passenger,Titanic
0,3,M,36.0,1,1,1,Passenger,Titanic
1,2,F,30.0,0,0,0,Passenger,Titanic
0,3,M,49.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,M,49.0,1,0,1,Passenger,Titanic
1,2,F,24.0,2,1,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,44.0,0,0,0,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
0,3,M,36.0,1,0,1,Passenger,Titanic
0,3,M,30.0,0,0,0,Passenger,Titanic
1,1,M,27.0,0,0,0,Passenger,Titanic
1,2,F,22.0,1,2,1,Passenger,Titanic
1,1,F,40.0,0,0,0,Passenger,Titanic
0,3,F,39.0,1,5,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,F,21.5,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,35.0,0,0,0,Passenger,Titanic
1,2,F,24.0,1,2,1,Passenger,Titanic
0,3,M,34.0,1,1,1,Passenger,Titanic
0,3,F,26.0,1,0,1,Passenger,Titanic
1,2,F,4.0,2,1,1,Passenger,Titanic
0,2,M,26.0,0,0,0,Passenger,Titanic
0,3,M,27.0,1,0,1,Passenger,Titanic
1,1,M,42.0,1,0,1,Passenger,Titanic
1,3,M,20.0,1,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,1,M,61.0,0,0,0,Passenger,Titanic
0,2,M,57.0,0,0,0,Passenger,Titanic
1,1,F,21.0,0,0,0,Passenger,Titanic
0,3,M,26.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,M,80.0,0,0,0,Passenger,Titanic
0,3,M,51.0,0,0,0,Passenger,Titanic
1,1,M,32.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,F,9.0,3,2,1,Passenger,Titanic
1,2,F,28.0,0,0,0,Passenger,Titanic
0,3,M,32.0,0,0,0,Passenger,Titanic
0,2,M,31.0,1,1,1,Passenger,Titanic
0,3,F,41.0,0,5,1,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
1,1,F,24.0,0,0,0,Passenger,Titanic
0,3,F,2.0,3,2,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
1,3,F,0.75,2,1,1,Passenger,Titanic
1,1,M,48.0,1,0,1,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,1,M,56.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,F,23.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,F,18.0,0,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,F,18.0,0,0,0,Passenger,Titanic
0,2,M,24.0,2,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,F,32.0,1,1,1,Passenger,Titanic
0,2,M,23.0,0,0,0,Passenger,Titanic
0,1,M,58.0,0,2,1,Passenger,Titanic
1,1,M,50.0,2,0,1,Passenger,Titanic
0,3,M,40.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,36.0,0,0,0,Passenger,Titanic
1,3,M,20.0,1,0,1,Passenger,Titanic
0,2,M,32.0,2,0,1,Passenger,Titanic
0,2,M,25.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,43.0,0,0,0,Passenger,Titanic
1,1,F,38.5,1,0,1,Passenger,Titanic
1,2,F,40.0,1,1,1,Passenger,Titanic
0,1,M,31.0,1,0,1,Passenger,Titanic
0,2,M,70.0,0,0,0,Passenger,Titanic
1,2,M,31.0,0,0,0,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,3,M,18.0,0,0,0,Passenger,Titanic
0,3,M,24.5,0,0,0,Passenger,Titanic
1,3,F,18.0,0,0,0,Passenger,Titanic
0,3,F,43.0,1,6,1,Passenger,Titanic
1,1,M,36.0,0,1,1,Passenger,Titanic
0,3,F,24.0,0,0,0,Passenger,Titanic
1,1,M,27.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,M,14.0,5,2,1,Passenger,Titanic
0,2,M,60.0,1,1,1,Passenger,Titanic
0,2,M,25.0,1,2,1,Passenger,Titanic
0,3,M,14.0,4,1,1,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
0,3,M,18.0,0,0,0,Passenger,Titanic
1,1,F,15.0,0,1,1,Passenger,Titanic
1,1,M,31.0,1,0,1,Passenger,Titanic
1,3,F,4.0,0,1,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,1,M,60.0,0,0,0,Passenger,Titanic
0,2,M,52.0,0,0,0,Passenger,Titanic
0,3,M,44.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,1,M,49.0,1,1,1,Passenger,Titanic
0,3,M,42.0,0,0,0,Passenger,Titanic
1,1,F,18.0,1,0,1,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
0,3,F,18.0,0,1,1,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
0,2,M,39.0,0,0,0,Passenger,Titanic
1,2,F,45.0,0,0,0,Passenger,Titanic
1,1,M,42.0,0,0,0,Passenger,Titanic
1,1,F,22.0,0,0,0,Passenger,Titanic
1,3,M,10.5,1,1,1,Passenger,Titanic
1,1,F,24.0,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
1,1,M,48.0,1,0,1,Passenger,Titanic
0,3,M,29.0,0,0,0,Passenger,Titanic
0,2,M,52.0,0,0,0,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,1,F,38.0,0,0,0,Passenger,Titanic
1,2,F,27.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,33.0,0,0,0,Passenger,Titanic
1,2,F,6.0,0,1,1,Passenger,Titanic
0,3,M,17.0,1,0,1,Passenger,Titanic
0,2,M,34.0,0,0,0,Passenger,Titanic
0,2,M,50.0,0,0,0,Passenger,Titanic
1,1,M,27.0,1,0,1,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
1,2,F,30.0,3,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,2,M,25.0,1,0,1,Passenger,Titanic
0,3,F,25.0,1,0,1,Passenger,Titanic
1,1,F,29.0,0,0,0,Passenger,Titanic
0,3,M,11.0,0,0,0,Passenger,Titanic
0,2,M,30.0,0,0,0,Passenger,Titanic
0,2,M,23.0,0,0,0,Passenger,Titanic
0,2,M,23.0,0,0,0,Passenger,Titanic
0,3,M,28.5,0,0,0,Passenger,Titanic
0,3,F,48.0,1,3,1,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
0,1,M,36.0,1,0,1,Passenger,Titanic
1,1,F,21.0,2,2,1,Passenger,Titanic
0,3,M,24.0,1,0,1,Passenger,Titanic
1,3,M,31.0,0,0,0,Passenger,Titanic
0,1,M,70.0,1,1,1,Passenger,Titanic
0,3,M,16.0,1,1,1,Passenger,Titanic
1,2,F,30.0,0,0,0,Passenger,Titanic
0,1,M,19.0,1,0,1,Passenger,Titanic
0,3,M,31.0,0,0,0,Passenger,Titanic
1,2,F,4.0,1,1,1,Passenger,Titanic
1,3,M,6.0,0,1,1,Passenger,Titanic
0,3,M,33.0,0,0,0,Passenger,Titanic
0,3,M,23.0,0,0,0,Passenger,Titanic
1,2,F,48.0,1,2,1,Passenger,Titanic
1,2,M,0.67,1,1,1,Passenger,Titanic
0,3,M,28.0,0,0,0,Passenger,Titanic
0,2,M,18.0,0,0,0,Passenger,Titanic
0,3,M,34.0,0,0,0,Passenger,Titanic
1,1,F,33.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,41.0,0,0,0,Passenger,Titanic
1,3,M,20.0,0,0,0,Passenger,Titanic
1,1,F,36.0,1,2,1,Passenger,Titanic
0,3,M,16.0,0,0,0,Passenger,Titanic
1,1,F,51.0,1,0,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,F,30.5,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
0,3,M,32.0,0,0,0,Passenger,Titanic
0,3,M,24.0,0,0,0,Passenger,Titanic
0,3,M,48.0,0,0,0,Passenger,Titanic
0,2,F,57.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,F,54.0,1,3,1,Passenger,Titanic
0,3,M,18.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,F,5.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,F,43.0,0,1,1,Passenger,Titanic
1,3,F,13.0,0,0,0,Passenger,Titanic
1,1,F,17.0,1,0,1,Passenger,Titanic
0,1,M,29.0,0,0,0,Passenger,Titanic
0,3,M,26.0,1,2,1,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
1,3,F,18.0,0,0,0,Passenger,Titanic
0,3,M,8.0,4,1,1,Passenger,Titanic
1,3,M,1.0,1,2,1,Passenger,Titanic
0,1,M,46.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,2,M,16.0,0,0,0,Passenger,Titanic
0,3,F,,8,2,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,2,M,39.0,0,0,0,Passenger,Titanic
1,1,F,49.0,0,0,0,Passenger,Titanic
1,3,F,31.0,0,0,0,Passenger,Titanic
0,3,M,30.0,0,0,0,Passenger,Titanic
0,3,F,30.0,1,1,1,Passenger,Titanic
0,2,M,34.0,0,0,0,Passenger,Titanic
1,2,F,31.0,1,1,1,Passenger,Titanic
1,1,M,11.0,1,2,1,Passenger,Titanic
1,3,M,0.42,0,1,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,3,M,31.0,0,0,0,Passenger,Titanic
0,1,M,39.0,0,0,0,Passenger,Titanic
0,3,F,18.0,0,0,0,Passenger,Titanic
0,2,M,39.0,0,0,0,Passenger,Titanic
1,1,F,33.0,1,0,1,Passenger,Titanic
0,3,M,26.0,0,0,0,Passenger,Titanic
0,3,M,39.0,0,0,0,Passenger,Titanic
0,2,M,35.0,0,0,0,Passenger,Titanic
0,3,F,6.0,4,2,1,Passenger,Titanic
0,3,M,30.5,0,0,0,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
0,3,F,23.0,0,0,0,Passenger,Titanic
0,2,M,31.0,1,1,1,Passenger,Titanic
0,3,M,43.0,0,0,0,Passenger,Titanic
0,3,M,10.0,3,2,1,Passenger,Titanic
1,1,F,52.0,1,1,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,1,M,38.0,0,0,0,Passenger,Titanic
1,3,F,27.0,0,1,1,Passenger,Titanic
0,3,M,2.0,4,1,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,M,1.0,0,2,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
1,1,F,62.0,0,0,0,Passenger,Titanic
1,3,F,15.0,1,0,1,Passenger,Titanic
1,2,M,0.83,1,1,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,23.0,0,0,0,Passenger,Titanic
0,3,M,18.0,0,0,0,Passenger,Titanic
1,1,F,39.0,1,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,32.0,0,0,0,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,2,M,16.0,0,0,0,Passenger,Titanic
1,1,F,30.0,0,0,0,Passenger,Titanic
0,3,M,34.5,0,0,0,Passenger,Titanic
0,3,M,17.0,0,0,0,Passenger,Titanic
0,3,M,42.0,0,0,0,Passenger,Titanic
0,3,M,,8,2,1,Passenger,Titanic
0,3,M,35.0,0,0,0,Passenger,Titanic
0,2,M,28.0,0,1,1,Passenger,Titanic
1,1,F,38.5,1,0,1,Passenger,Titanic
0,3,M,4.0,4,2,1,Passenger,Titanic
0,3,M,74.0,0,0,0,Passenger,Titanic
0,3,F,9.0,1,1,1,Passenger,Titanic
1,1,F,16.0,0,1,1,Passenger,Titanic
0,2,F,44.0,1,0,1,Passenger,Titanic
1,3,F,18.0,0,1,1,Passenger,Titanic
1,1,F,45.0,1,1,1,Passenger,Titanic
1,1,M,51.0,0,0,0,Passenger,Titanic
1,3,F,24.0,0,3,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,41.0,2,0,1,Passenger,Titanic
0,2,M,21.0,1,0,1,Passenger,Titanic
1,1,F,48.0,0,0,0,Passenger,Titanic
0,3,F,,8,2,1,Passenger,Titanic
0,2,M,24.0,0,0,0,Passenger,Titanic
1,2,F,42.0,0,0,0,Passenger,Titanic
1,2,F,27.0,1,0,1,Passenger,Titanic
0,1,M,31.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,3,M,4.0,1,1,1,Passenger,Titanic
0,3,M,26.0,0,0,0,Passenger,Titanic
1,1,F,47.0,1,1,1,Passenger,Titanic
0,1,M,33.0,0,0,0,Passenger,Titanic
0,3,M,47.0,0,0,0,Passenger,Titanic
1,2,F,28.0,1,0,1,Passenger,Titanic
1,3,F,15.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,1,F,56.0,0,1,1,Passenger,Titanic
1,2,F,25.0,0,1,1,Passenger,Titanic
0,3,M,33.0,0,0,0,Passenger,Titanic
0,3,F,22.0,0,0,0,Passenger,Titanic
0,2,M,28.0,0,0,0,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,3,F,39.0,0,5,1,Passenger,Titanic
0,2,M,27.0,0,0,0,Passenger,Titanic
1,1,F,19.0,0,0,0,Passenger,Titanic
0,3,F,29.5,1,2,1,Passenger,Titanic
1,1,M,26.0,0,0,0,Passenger,Titanic
0,3,M,32.0,0,0,0,Passenger,Titanic
